n_pkt,dropped
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,1.00
5,0.00
5,1.00
5,1.00
5,0.00
5,0.80
5,0.80
5,0.00
5,0.40
5,1.00
5,0.60
5,0.40
5,0.40
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
5,0.00
